DEBUG super_duper: config.root_paths: ["D:/Data/Dev/Scratch/TestD3"]
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\csso.cmd"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\abbrev\\LICENSE"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\accepts\\HISTORY.md"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-cookies"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\malarkey\\malarkey.directive.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\dateformat"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\.bower.json"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\abbrev\\package.json"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\accepts\\index.js"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-cookies\\index.d.ts"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\malarkey\\malarkey.scss"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\dateformat.cmd"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\angular-animate.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\abbrev\\README.md"
