id,canonical_name,name,file_size,parent_id,part_type
1199,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive\Dev\RailInc\POC\RailInc.POC.Web,RailInc.POC.Web,105995,1198,1
1414,D:\Archive\ckgentry.org\ckgentry.org\drupal-gardens\sites\all\libraries\ckeditor\_source\plugins,plugins,896,1413,1
505,D:\Data\Dev\Archive\ckgentry.com\drupal-7.0-alpha6.1\sites\all\libraries\htmlpurifier\library,library,173,504,1
258,D:\Archive\Archive From Hulk\Dev\Samples\Book Code\Samples,Samples,2436,253,1
710,D:\Data\Dev\Archive\GCA\Delete\7-19-2016\CTMS.bak\gca-ctms-server\src\GCA\GCA.Debug.Web\bower_components\angular-datatables,angular-datatables,1955,709,1
331,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak,@cirrusct.bak,1017,323,1
511,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all\libraries,libraries,1965,510,1
342,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak\common,common,299,331,1
757,D:\Video\Home Video,Home Video,1509290949,756,1
1018,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct\mr\packages\config\dist\builder,builder,3429,1017,1
1234,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak\.archive\common\packages\security,security,12,334,1
775,D:\Data\Dev\GoldCoast\Archive\GCA.bak\CTMS\Client\.git\objects\8e\e02e01fe65d62422a8b0215cb1a236e2ec943e,e02e01fe65d62422a8b0215cb1a236e2ec943e,520,774,2
1134,H:\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018,7-4-2018,14495,1133,1
1014,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct\mr,mr,3429,324,1
1185,E:\Temp\sd.webui\webui\extensions-builtin\Lora\networks.py,networks.py,24258,1184,2
442,D:\Data\Dev\Archive\GWG\GWG.Tivo\3PReference\Streambaby\streambaby\main\src\mp4\util,util,316,441,1
157,D:\Data\Dev\GoldCoast\Archive\GCA.bak\CTMS\Archive\Client.bak\GCA.CTMS.Web.App\bower_components\angular-material.bak,angular-material.bak,858,148,1
278,D:\Data\Dev\Archive\GWG\GWG.Tivo\REORG\FromHG\.hg\store\data\_g_w_g._tivo\_support\_g_w_g._i_p_c\_i_p_c_client_send_subscribe_message_base.cs.i,_i_p_c_client_send_subscribe_message_base.cs.i,572,277,2
1644,D:\Archive\Archive From Hulk\Dev\dotNet\Samples\Nile Books\Nile2.0\Nile 2.0 IBM WebSphere 3.5,Nile 2.0 IBM WebSphere 3.5,137,1643,1
439,D:\Data\Dev\Archive\GWG\GWG.Tivo\3PReference\Streambaby\streambaby\main,main,316,434,1
1365,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\4\45F9,45F9,9328,621,1
1709,D:\Data\Dev\Archive\G2.Tivo\src\.hg\store\data\_g_w_g._tivo._library\_data\_tivo_model.cs.i,_tivo_model.cs.i,273,1708,2
1739,D:\Data\Dev\Archive\GWG\GWG.Net\GWG.Net.Tcp\GWG.Net.Tcp.Windows.Server\obj\x86\Debug,Debug,436,1738,1
1380,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\8\8EAB\8EAB2AFD-8BC1-4B2E-908A-14A443A56E2D-07cc63f155500a902b21fef7be6585b5.lrprev,8EAB2AFD-8BC1-4B2E-908A-14A443A56E2D-07cc63f155500a902b21fef7be6585b5.lrprev,9264,1379,2
1786,D:\Data\Dev\Archive\GWG\GWG.Tivo\Backup\VS10\.hg\store\data\_g_w_g._tivo._data,_g_w_g._tivo._data,273,823,1
836,D:\Data\Dev\Archive\GCA\Delete\7-19-2016\gca-ctms-app-web.bak\wwwroot\app,app,418,835,1
880,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\cirrusclinical.com\wp\Sample1\wp-content\themes\avada\Avada\includes\lib\inc\redux\framework\FusionReduxCore\assets\css,css,12370,879,1
1860,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\3\3D2B,3D2B,6574880,29,1
1245,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak\common\packages\security\README.md,README.md,12,1244,2
956,D:\Data\Leesa Surface Backup 3-7-2017\Pictures\2015-10,2015-10,3156828,955,1
1327,D:\Data\Dev\GoldCoast\GCA\CTMS\gca-ctms-server-node,gca-ctms-server-node,121,987,1
532,D:\Archive\ckgentry.org\ckgentry.org\drupal-gardens.delete\docroot\sites\all\libraries\htmlpurifier\library\HTMLPurifier\ConfigSchema\Exception.php,Exception.php,173,531,2
410,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\7\7D81,7D81,2299776,227,1
1657,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Smart Previews.lrdata\F\F570\F570BF90-45C3-411C-9C4F-30A89467F475.dng,F570BF90-45C3-411C-9C4F-30A89467F475.dng,1018070,1656,2
1437,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\bak.7-1-2017\cirrusCT.com\src\include\rs-plugin\demos\assets,assets,554,1156,1
369,D:\Pictures\Published\Image Files\Image Files\GentryDigitalCamera\2004\06 (Jun 2004),06 (Jun 2004),3011890,368,1
